"KP001-A05","KP002-A06","KP003-A07","KP004-A08","KP005-A09","KP007-A11","KP008-A12","KP009-B01","KP010-B02","KP011-B03","KP012-B04","KP013-B05","KP014-B06","KP015-B07","KP016-B08","KP017-B09","KP019-B11","KP020-B12","KP021-C01","KP022-C02","KP023-C03","KP024-C04","KP027-C07","KP028-C08","KP029-C09","KP031-C11","KP032-C12","KP033-D01","KP034-D02","KP035-D03","KP036-D04","KP037-D05","KP038-D06","KP039-D07","KP040-D08","KP041-D09","KP042-D10","KP043-D11","KP044-D12","KP045-E01","KP046-E02","KP047-E03","KP048-E04","KP049-E05","KP050-E06","KP052-E08","KP053-E09","KP054-E10","KP055-E11","KP056-E12","KP057-F01","KP058-F02","KP059-F03","KP060-F04","KP061-F05","KP062-F06","KP063-F07","KP064-F08","KP065-F09","KP066-F10","KP067-F11","KP069-G01","KP070-G02","KP071-G03","KP072-G04","KP074-G06","KP075-G07","KP076-G08","KP077-G09","KP078-G10","KP079-G11","KP081-H01","KP083-H03","KP084-H04","KP085-H05","KP086-H06","KP088-H08","KP089-H09","KP091-H11","KP092-H12","KP094-A02","KP095-A03","KP096-A04","KP097-A05","KP098-A06","KP100-A08","KP102-A10","KP104-A12","KP107-B03","KP108-B04","KP109-B05","KP110-B06","KP143-E03","KP144-E04","KP145-E05","KP146-E06","KP147-E07","KP148-E08","KP149-E09","KP150-E10","KP191-A03","KP192-A04","KP193-A05","KP194-A06","KP195-A07","KP196-A08","KP197-A09","KP198-A10"
"KP012-B04",58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,0,0,0,0,0,0,0,0,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,147948.899847598,147948.899847598,147948.899847598,147948.899847598,147948.899847598,147948.899847598,186627.014051673,186627.014051673,186627.014051673,186627.014051673,186627.014051673,186627.014051673,233953.957761096,233953.957761096,233953.957761096,233953.957761096,233953.957761096,233953.957761096,254231.042442906,254231.042442906,254231.042442906,254231.042442906,254231.042442906,72727.9777994675,72727.9777994675,72727.9777994675,72727.9777994675,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813
"KP013-B05",58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,0,0,0,0,0,0,0,0,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,147948.899847598,147948.899847598,147948.899847598,147948.899847598,147948.899847598,147948.899847598,186627.014051673,186627.014051673,186627.014051673,186627.014051673,186627.014051673,186627.014051673,233953.957761096,233953.957761096,233953.957761096,233953.957761096,233953.957761096,233953.957761096,254231.042442906,254231.042442906,254231.042442906,254231.042442906,254231.042442906,72727.9777994675,72727.9777994675,72727.9777994675,72727.9777994675,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813
"KP014-B06",58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,0,0,0,0,0,0,0,0,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,147948.899847598,147948.899847598,147948.899847598,147948.899847598,147948.899847598,147948.899847598,186627.014051673,186627.014051673,186627.014051673,186627.014051673,186627.014051673,186627.014051673,233953.957761096,233953.957761096,233953.957761096,233953.957761096,233953.957761096,233953.957761096,254231.042442906,254231.042442906,254231.042442906,254231.042442906,254231.042442906,72727.9777994675,72727.9777994675,72727.9777994675,72727.9777994675,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813
"KP015-B07",58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,0,0,0,0,0,0,0,0,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,147948.899847598,147948.899847598,147948.899847598,147948.899847598,147948.899847598,147948.899847598,186627.014051673,186627.014051673,186627.014051673,186627.014051673,186627.014051673,186627.014051673,233953.957761096,233953.957761096,233953.957761096,233953.957761096,233953.957761096,233953.957761096,254231.042442906,254231.042442906,254231.042442906,254231.042442906,254231.042442906,72727.9777994675,72727.9777994675,72727.9777994675,72727.9777994675,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813
"KP016-B08",58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,58771.5129770543,0,0,0,0,0,0,0,0,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,44361.6472711341,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,83650.4318878775,147948.899847598,147948.899847598,147948.899847598,147948.899847598,147948.899847598,147948.899847598,186627.014051673,186627.014051673,186627.014051673,186627.014051673,186627.014051673,186627.014051673,233953.957761096,233953.957761096,233953.957761096,233953.957761096,233953.957761096,233953.957761096,254231.042442906,254231.042442906,254231.042442906,254231.042442906,254231.042442906,72727.9777994675,72727.9777994675,72727.9777994675,72727.9777994675,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,764072.373211618,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813,748012.912783813
"KP017-B09",47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,0,0,0,0,0,0,0,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,253971.738423851,253971.738423851,253971.738423851,253971.738423851,253971.738423851,72642.5369892054,72642.5369892054,72642.5369892054,72642.5369892054,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973
"KP019-B11",47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,0,0,0,0,0,0,0,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,253971.738423851,253971.738423851,253971.738423851,253971.738423851,253971.738423851,72642.5369892054,72642.5369892054,72642.5369892054,72642.5369892054,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973
"KP020-B12",47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,0,0,0,0,0,0,0,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,253971.738423851,253971.738423851,253971.738423851,253971.738423851,253971.738423851,72642.5369892054,72642.5369892054,72642.5369892054,72642.5369892054,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973
"KP021-C01",47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,0,0,0,0,0,0,0,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,253971.738423851,253971.738423851,253971.738423851,253971.738423851,253971.738423851,72642.5369892054,72642.5369892054,72642.5369892054,72642.5369892054,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973
"KP022-C02",47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,0,0,0,0,0,0,0,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,253971.738423851,253971.738423851,253971.738423851,253971.738423851,253971.738423851,72642.5369892054,72642.5369892054,72642.5369892054,72642.5369892054,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973
"KP023-C03",47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,0,0,0,0,0,0,0,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,253971.738423851,253971.738423851,253971.738423851,253971.738423851,253971.738423851,72642.5369892054,72642.5369892054,72642.5369892054,72642.5369892054,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973
"KP024-C04",47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,47499.1275800743,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,11446.5007162515,0,0,0,0,0,0,0,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,43335.8649414875,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,81750.6945929855,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,146072.761199194,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,184833.036723214,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,232469.564678207,253971.738423851,253971.738423851,253971.738423851,253971.738423851,253971.738423851,72642.5369892054,72642.5369892054,72642.5369892054,72642.5369892054,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,756664.789840186,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973,758250.640019973
"KP027-C07",62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,0,0,0,0,0,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,130153.777585175,130153.777585175,130153.777585175,130153.777585175,130153.777585175,130153.777585175,159584.102384971,159584.102384971,159584.102384971,159584.102384971,159584.102384971,159584.102384971,202508.751674273,202508.751674273,202508.751674273,202508.751674273,202508.751674273,202508.751674273,233177.12703561,233177.12703561,233177.12703561,233177.12703561,233177.12703561,108552.075949604,108552.075949604,108552.075949604,108552.075949604,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444
"KP028-C08",62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,0,0,0,0,0,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,130153.777585175,130153.777585175,130153.777585175,130153.777585175,130153.777585175,130153.777585175,159584.102384971,159584.102384971,159584.102384971,159584.102384971,159584.102384971,159584.102384971,202508.751674273,202508.751674273,202508.751674273,202508.751674273,202508.751674273,202508.751674273,233177.12703561,233177.12703561,233177.12703561,233177.12703561,233177.12703561,108552.075949604,108552.075949604,108552.075949604,108552.075949604,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444
"KP029-C09",62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,0,0,0,0,0,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,130153.777585175,130153.777585175,130153.777585175,130153.777585175,130153.777585175,130153.777585175,159584.102384971,159584.102384971,159584.102384971,159584.102384971,159584.102384971,159584.102384971,202508.751674273,202508.751674273,202508.751674273,202508.751674273,202508.751674273,202508.751674273,233177.12703561,233177.12703561,233177.12703561,233177.12703561,233177.12703561,108552.075949604,108552.075949604,108552.075949604,108552.075949604,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444
"KP031-C11",62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,62585.8690211995,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,118777.440733899,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,108185.154001873,0,0,0,0,0,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,101082.833105846,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,99030.9610340289,130153.777585175,130153.777585175,130153.777585175,130153.777585175,130153.777585175,130153.777585175,159584.102384971,159584.102384971,159584.102384971,159584.102384971,159584.102384971,159584.102384971,202508.751674273,202508.751674273,202508.751674273,202508.751674273,202508.751674273,202508.751674273,233177.12703561,233177.12703561,233177.12703561,233177.12703561,233177.12703561,108552.075949604,108552.075949604,108552.075949604,108552.075949604,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,661701.319996904,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444,832208.301479444
